"","region","item_name","item_code","unit_name","Otherunit","unit_code","factor","source"
"1524","2","SUGAR, WHITE","801","PIECE","","9",0.869750023,"1"
"1525","3","SUGAR, WHITE","801","PIECE","","9",0.96661669,"1"
"1526","1","SUGAR CANE","802","SATCHET/TUBE","","22",0.257999986,"1"
"1527","2","SUGAR CANE","802","SATCHET/TUBE","","22",0.44933334,"1"
"1528","3","SUGAR CANE","802","SATCHET/TUBE","","22",0.481666684,"1"
"1529","1","SUGAR CANE","802","PIECE","","9",1.142263889,"1"
"1530","2","SUGAR CANE","802","PIECE","","9",0.922027051,"1"
"1531","3","SUGAR CANE","802","PIECE","","9",1.375146627,"1"
"1532","1","SUGAR CANE","802","PIECE SMALL","","9A",1.006000042,"1"
"1533","2","SUGAR CANE","802","PIECE SMALL","","9A",1.011999965,"1"
"1534","3","SUGAR CANE","802","PIECE SMALL","","9A",1.137500048,"1"
"1535","1","SUGAR CANE","802","PIECE MEDIUM","","9B",1.700000048,"1"
"1536","2","SUGAR CANE","802","PIECE MEDIUM","","9B",1.703500032,"1"
"1537","3","SUGAR CANE","802","PIECE MEDIUM","","9B",1.840999961,"1"
"1538","1","SUGAR CANE","802","PIECE LARGE","","9C",2.415999889,"1"
"1539","2","SUGAR CANE","802","PIECE LARGE","","9C",2.512000084,"1"
"1540","3","SUGAR CANE","802","PIECE LARGE","","9C",2.602999926,"1"
"1541","1","COOKING OIL","803","SATCHET/TUBE SMALL","","22A",0.024500001,"1"
"1542","2","COOKING OIL","803","SATCHET/TUBE SMALL","","22A",0.025,"1"
"1543","3","COOKING OIL","803","SATCHET/TUBE SMALL","","22A",0.025,"1"
"1544","1","COOKING OIL","803","SATCHET/TUBE MEDIUM","","22B",0.041500002,"1"
"1545","2","COOKING OIL","803","SATCHET/TUBE MEDIUM","","22B",0.035999998,"1"
"1546","3","COOKING OIL","803","SATCHET/TUBE MEDIUM","","22B",0.035999998,"1"
"1547","1","COOKING OIL","803","SATCHET/TUBE LARGE","","22C",0.07,"1"
"1548","2","COOKING OIL","803","SATCHET/TUBE LARGE","","22C",0.0495,"1"
"1549","3","COOKING OIL","803","SATCHET/TUBE LARGE","","22C",0.052000001,"1"
"1550","1","COOKING OIL","803","SATCHET/TUBE 25G","","41",0.037999999,"1"
"1551","2","COOKING OIL","803","SATCHET/TUBE 25G","","41",0.045000002,"1"
"1552","3","COOKING OIL","803","SATCHET/TUBE 25G","","41",0.045000002,"3"
"1553","1","COOKING OIL","803","SATCHET/TUBE 50G","","42",0.071999997,"1"
"1554","2","COOKING OIL","803","SATCHET/TUBE 50G","","42",0.079999998,"1"
"1555","3","COOKING OIL","803","SATCHET/TUBE 50G","","42",0.082000002,"1"
"1556","1","COOKING OIL","803","SATCHET/TUBE 100G","","43",0.140000001,"1"
"1557","2","COOKING OIL","803","SATCHET/TUBE 100G","","43",0.13350001,"1"
"1558","3","COOKING OIL","803","SATCHET/TUBE 100G","","43",0.140000001,"1"
"1559","1","CINNAMON POWDER","806","TEASPOON","","20",0.008,"1"
"1560","2","CINNAMON POWDER","806","TEASPOON","","20",0.005,"1"
"1561","3","CINNAMON POWDER","806","TEASPOON","","20",0.006,"1"
"1562","1","GINGER POWDER","807","TEASPOON","","20",0.009,"1"
"1563","2","GINGER POWDER","807","TEASPOON","","20",0.005,"1"
"1564","3","GINGER POWDER","807","TEASPOON","","20",0.007,"1"
"1565","1","CURRY POWDER","808","TEASPOON","","20",0.014,"1"
"1566","2","CURRY POWDER","808","TEASPOON","","20",0.01,"1"
"1567","3","CURRY POWDER","808","TEASPOON","","20",0.021,"1"
"1568","1","SALT","810","HEAP ","","10",0.317999989,"1"
"1569","2","SALT","810","HEAP ","","10",0.165000007,"1"
"1570","3","SALT","810","HEAP ","","10",0.197999999,"1"
"1571","1","SALT","810","TEASPOON","","20",0.143105283,"4"
"1572","2","SALT","810","TEASPOON","","20",0.143105283,"4"
"1573","3","SALT","810","TEASPOON","","20",0.143105283,"4"
"1574","1","SALT","810","SATCHET/TUBE","","22",0.74528569,"1"
"1575","2","SALT","810","SATCHET/TUBE","","22",0.26289475,"1"
"1576","3","SALT","810","SATCHET/TUBE","","22",0.279333323,"1"
"1577","1","SALT","810","OTHER (SPECIFY)","SMALL PACKET","90",0.150000006,"2"
"1578","2","SALT","810","OTHER (SPECIFY)","SMALL PACKET","90",0.150000006,"2"
"1579","2","SALT","810","OTHER (SPECIFY)","RUBE","83",0.170000002,"1"
"1580","2","SALT","810","OTHER (SPECIFY)","SMALL PACKAGE","95",0.150000006,"2"
"1581","2","SALT","810","OTHER (SPECIFY)","CUP","84",0.787999988,"4"
"1582","3","SALT","810","OTHER (SPECIFY)","TBE","96",0.170000002,"1"
"1583","3","SALT","810","OTHER (SPECIFY)","CUP","84",0.787999988,"4"
"1584","3","SALT","810","OTHER (SPECIFY)","SMALL PACKET","90",0.150000006,"2"
"1585","1","SALT","810","TINA ","","25",0.416000009,"1"
"1586","2","SALT","810","TINA ","","25",0.435000002,"1"
"1587","3","SALT","810","TINA ","","25",0.422999978,"1"
"1588","1","SALT","810","PACKET 500G ","","36",0.5,"3"
"1589","2","SALT","810","PACKET 500G ","","36",0.5,"3"
"1590","3","SALT","810","PACKET 500G ","","36",0.5,"3"
"1591","1","SALT","810","TABLESPOON","","59",0.0425,"1"
"1592","2","SALT","810","TABLESPOON","","59",0.035999998,"1"
"1593","3","SALT","810","TABLESPOON","","59",0.059999999,"1"
